state,district,level,name,type,total_population,total_population_males,total_population_females,population_06,population_literate,population_illiterate,total_workers,total_workers_males,total_workers_females,non_workers
17,299,district,jaintiahills,total,395124,196285,198839,90911,187527,207597,154180,88839,65341,240944
17,299,district,jaintiahills,rural,366694,182610,184084,87054,165140,201554,143496,82945,60551,223198
17,299,district,jaintiahills,urban,28430,13675,14755,3857,22387,6043,10684,5894,4790,17746
8,110,district,jaipur,total,6626178,3468507,3157671,929926,4300965,2325213,2464893,1714947,749946,4161285
8,110,district,jaipur,rural,3154331,1642924,1511407,481315,1807604,1346727,1346659,787451,559208,1807672
8,110,district,jaipur,urban,3471847,1825583,1646264,448611,2493361,978486,1118234,927496,190738,2353613
8,114,district,jaisalmer,total,669919,361708,308211,130463,308653,361266,288903,182565,106338,381016
8,114,district,jaisalmer,rural,580894,312447,268447,117527,249289,331605,258029,155519,102510,322865
8,114,district,jaisalmer,urban,89025,49261,39764,12936,59364,29661,30874,27046,3828,58151
21,382,district,jajapur,total,1827192,926034,901158,216804,1290455,536737,552234,486091,66143,1274958
21,382,district,jajapur,rural,1692095,856539,835556,200284,1188483,503612,511605,450358,61247,1180490
21,382,district,jajapur,urban,135097,69495,65602,16520,101972,33125,40629,35733,4896,94468
3,37,district,jalandhar,total,2193590,1145211,1048379,226302,1622537,571053,774472,639484,134988,1419118
3,37,district,jalandhar,rural,1032419,528790,503629,105196,728134,304285,350042,291648,58394,682377
3,37,district,jalandhar,urban,1161171,616421,544750,121106,894403,266768,424430,347836,76594,736741
9,165,district,jalaun,total,1689974,906092,783882,231997,1075196,614778,620764,470969,149795,1069210
9,165,district,jalaun,rural,1271074,683656,587418,180671,789966,481108,494424,363029,131395,776650
9,165,district,jalaun,urban,418900,222436,196464,51326,285230,133670,126340,107940,18400,292560
27,499,district,jalgaon,total,4229917,2197365,2032552,532005,2891882,1338035,1863571,1186472,677099,2366346
27,499,district,jalgaon,rural,2887206,1500514,1386692,375676,1877562,1009644,1427691,837159,590532,1459515
27,499,district,jalgaon,urban,1342711,696851,645860,156329,1014320,328391,435880,349313,86567,906831
27,514,district,jalna,total,1959046,1011473,947573,287338,1195523,763523,930886,545030,385856,1028160
27,514,district,jalna,rural,1581617,817279,764338,234903,931514,650103,805304,447556,357748,776313
27,514,district,jalna,urban,377429,194194,183235,52435,264009,113420,125582,97474,28108,251847
8,116,district,jalor,total,1828730,936634,892096,316455,829582,999148,896644,494906,401738,932086
8,116,district,jalor,rural,1676975,857619,819356,294006,737675,939300,846488,455851,390637,830487
8,116,district,jalor,urban,151755,79015,72740,22449,91907,59848,50156,39055,11101,101599
19,328,district,jalpaiguri,total,3872846,1983064,1889782,461700,2498780,1374066,1512910,1091361,421549,2359936
19,328,district,jalpaiguri,rural,2812495,1437286,1375209,351111,1716304,1096191,1122777,778252,344525,1689718
19,328,district,jalpaiguri,urban,1060351,545778,514573,110589,782476,277875,390133,313109,77024,670218
1,21,district,jammu,total,1529958,813821,716137,167363,1137135,392823,508622,417456,91166,1021336
1,21,district,jammu,rural,764945,401603,363342,94101,524881,240064,236708,195516,41192,528237
1,21,district,jammu,urban,765013,412218,352795,73262,612254,152759,271914,221940,49974,493099
1,0,state,jammuandkashmir,total,12267013,6483906,12423769,6608718,12361296,6546379,12414350,6547558,12507454,6493325
1,0,state,jammuandkashmir,rural,9108060,4774477,4333583,1593008,4747950,4360110,3113081,2212006,901075,5994979
1,0,state,jammuandkashmir,urban,3433242,1866185,1567057,425897,2319283,1113959,1209632,983084,226548,2223610
24,477,district,jamnagar,total,2160119,1114192,1045927,263972,1396534,763585,847440,646822,200618,1312679
24,477,district,jamnagar,rural,1189054,610088,578966,152181,715735,473319,512567,362636,149931,676487
24,477,district,jamnagar,urban,971065,504104,466961,111791,680799,290266,334873,284186,50687,636192
20,363,district,jamtara,total,791042,404830,386212,130993,426312,364730,326631,214740,111891,464411
20,363,district,jamtara,rural,715296,365043,350253,121244,371784,343512,303407,195029,108378,411889
20,363,district,jamtara,urban,75746,39787,35959,9749,54528,21218,23224,19711,3513,52522
10,238,district,jamui,total,1760405,916064,844341,324513,858588,901817,727571,452288,275283,1032834
10,238,district,jamui,rural,1615072,839776,775296,301124,767311,847761,680429,417113,263316,934643
10,238,district,jamui,urban,145333,76288,69045,23389,91277,54056,47142,35175,11967,98191
22,405,district,janjgirchampa,total,1619707,815717,803990,224218,1019634,600073,846466,478278,368188,773241
22,405,district,janjgirchampa,rural,1394646,701401,693245,195052,859400,535246,753143,414553,338590,641503
22,405,district,janjgirchampa,urban,225061,114316,110745,29166,160234,64827,93323,63725,29598,131738
22,402,district,jashpur,total,851669,424747,426922,122266,495415,356254,487360,263645,223715,364309
22,402,district,jashpur,rural,775677,386307,389370,112599,439818,335859,460143,243798,216345,315534
22,402,district,jashpur,urban,75992,38440,37552,9667,55597,20395,27217,19847,7370,48775
9,194,district,jaunpur,total,4494204,2220465,2273739,676216,2731677,1762527,1437375,934157,503218,3056829
9,194,district,jaunpur,rural,4147624,2041217,2106407,629787,2491044,1656580,1342850,855938,486912,2804774
9,194,district,jaunpur,urban,346580,179248,167332,46429,240633,105947,94525,78219,16306,252055
10,239,district,jehanabad,total,1125313,585582,539731,198785,618881,506432,365378,266423,98955,759935
10,239,district,jehanabad,rural,990117,514154,475963,178151,531441,458676,328412,236205,92207,661705
10,239,district,jehanabad,urban,135196,71428,63768,20634,87440,47756,36966,30218,6748,98230
23,464,district,jhabua,total,1025048,515023,510025,211869,352081,672967,515121,265489,249632,509927
23,464,district,jhabua,rural,933065,467468,465597,198754,286231,646834,482366,241771,240595,450699
23,464,district,jhabua,urban,91983,47555,44428,13115,65850,26133,32755,23718,9037,59228
6,83,district,jhajjar,total,958405,514667,443738,120051,676091,282314,326534,250020,76514,631871
6,83,district,jhajjar,rural,715066,384219,330847,89704,496455,218611,253833,188657,65176,461233
6,83,district,jhajjar,urban,243339,130448,112891,30347,179636,63703,72701,61363,11338,170638
8,129,district,jhalawar,total,1411129,725143,685986,208205,739792,671337,685950,402825,283125,725179
8,129,district,jhalawar,rural,1181838,606533,575305,177367,578866,602972,611622,342286,269336,570216
8,129,district,jhalawar,urban,229291,118610,110681,30838,160926,68365,74328,60539,13789,154963
9,166,district,jhansi,total,1998603,1057436,941167,260373,1304513,694090,814914,565357,249557,1183689
9,166,district,jhansi,rural,1165119,615629,549490,163631,702993,462126,528443,336478,191965,636676
9,166,district,jhansi,urban,833484,441807,391677,96742,601520,231964,286471,228879,57592,547013
20,0,state,jharkhand,total,32988134,16930315,16057819,5389495,18328069,14660065,13098274,8424769,4673505,19889860
20,0,state,jharkhand,rural,25055073,12776486,12278587,4367507,12643078,12411995,10777152,6484142,4293010,14277921
20,0,state,jharkhand,urban,7933061,4153829,3779232,1021988,5684991,2248070,2321122,1940627,380495,5611939
21,371,district,jharsuguda,total,579505,296690,282815,64794,405879,173626,247707,172018,75689,331798
21,371,district,jharsuguda,rural,348340,176162,172178,37295,234962,113378,169104,106700,62404,179236
21,371,district,jharsuguda,urban,231165,120528,110637,27499,170917,60248,78603,65318,13285,152562
8,103,district,jhunjhunun,total,2137045,1095896,1041149,288470,1370360,766685,894649,541392,353257,1242396
8,103,district,jhunjhunun,rural,1647966,842718,805248,222519,1046549,601417,752752,425348,327404,895214
8,103,district,jhunjhunun,urban,489079,253178,235901,65951,323811,165268,141897,116044,25853,347182
6,77,district,jind,total,1334152,713006,621146,168554,832758,501394,523422,368277,155145,810730
6,77,district,jind,rural,1028569,550519,478050,131390,617715,410854,430161,289349,140812,598408
6,77,district,jind,urban,305583,162487,143096,37164,215043,90540,93261,78928,14333,212322
8,113,district,jodhpur,total,3687165,1923928,1763237,606490,2031532,1655633,1489741,965103,524638,2197424
8,113,district,jodhpur,rural,2422551,1260328,1162223,441955,1158340,1264211,1079534,621142,458392,1343017
8,113,district,jodhpur,urban,1264614,663600,601014,164535,873192,391422,410207,343961,66246,854407
18,312,district,jorhat,total,1092256,556805,535451,124594,794929,297327,498618,320746,177872,593638
18,312,district,jorhat,rural,871722,442968,428754,103394,614748,256974,410080,253598,156482,461642
18,312,district,jorhat,urban,220534,113837,106697,21200,180181,40353,88538,67148,21390,131996
24,479,district,junagadh,total,2743082,1404356,1338726,311930,1842818,900264,1123709,801859,321850,1619373
24,479,district,junagadh,rural,1836670,940271,896399,213972,1178160,658510,823125,547978,275147,1013545
24,479,district,junagadh,urban,906412,464085,442327,97958,664658,241754,300584,253881,46703,605828
9,137,district,jyotibaphulenagar,total,1840221,963449,876772,300231,983110,857111,599089,459037,140052,1241132
9,137,district,jyotibaphulenagar,rural,1381508,724539,656969,231598,729207,652301,463948,344185,119763,917560
9,137,district,jyotibaphulenagar,urban,458713,238910,219803,68633,253903,204810,135141,114852,20289,323572
22,407,district,kabeerdham,total,822526,412058,410468,141904,414167,408359,404156,217073,187083,418370
22,407,district,kabeerdham,rural,735131,367941,367190,128957,357301,377830,372200,194421,177779,362931
22,407,district,kabeerdham,urban,87395,44117,43278,12947,56866,30529,31956,22652,9304,55439
24,468,district,kachchh,total,2092371,1096737,995634,318412,1252319,840052,776228,624704,151524,1316143
24,468,district,kachchh,rural,1363836,713524,650312,222543,740922,622914,516868,404980,111888,846968
24,468,district,kachchh,urban,728535,383213,345322,95869,511397,217138,259360,219724,39636,469175
10,233,district,kaimurbhabua,total,1626384,847006,779378,299281,920276,706108,511163,375959,135204,1115221
10,233,district,kaimurbhabua,rural,1560813,812298,748515,289652,874045,686768,495152,361632,133520,1065661
10,233,district,kaimurbhabua,urban,65571,34708,30863,9629,46231,19340,16011,14327,1684,49560
6,73,district,kaithal,total,1074304,571003,503301,139393,646529,427775,373899,292696,81203,700405
6,73,district,kaithal,rural,838293,445931,392362,110499,485223,353070,300886,229859,71027,537407
6,73,district,kaithal,urban,236011,125072,110939,28894,161306,74705,73013,62837,10176,162998
21,395,district,kalahandi,total,1576869,787101,789768,222570,802036,774833,751930,447290,304640,824939
21,395,district,kalahandi,rural,1454882,724646,730236,208763,713762,741120,709276,413886,295390,745606
21,395,district,kalahandi,urban,121987,62455,59532,13807,88274,33713,42654,33404,9250,79333
18,321,district,kamrup,total,1517542,778461,739081,200061,995319,522223,628954,428492,200462,888588
18,321,district,kamrup,rural,1375148,706140,669008,186844,881782,493366,572782,387764,185018,802366
18,321,district,kamrup,urban,142394,72321,70073,13217,113537,28857,56172,40728,15444,86222
18,322,district,kamrupmetropolitan,total,1253938,647585,606353,125386,1001191,252747,490932,375613,115319,763006
18,322,district,kamrupmetropolitan,rural,216927,111062,105865,27333,144941,71986,87768,62916,24852,129159
18,322,district,kamrupmetropolitan,urban,1037011,536523,500488,98053,856250,180761,403164,312697,90467,633847
33,604,district,kancheepuram,total,3998252,2012958,1985294,431574,3013382,984870,1673814,1181308,492506,2324438
33,604,district,kancheepuram,rural,1459916,734979,724937,158626,988378,471538,678251,434328,243923,781665
33,604,district,kancheepuram,urban,2538336,1277979,1260357,272948,2025004,513332,995563,746980,248583,1542773
21,390,district,kandhamal,total,733110,359945,373165,109709,399786,333324,355349,193515,161834,377761
21,390,district,kandhamal,rural,660831,323523,337308,101816,343893,316938,329677,174508,155169,331154
21,390,district,kandhamal,urban,72279,36422,35857,7893,55893,16386,25672,19007,6665,46607
2,24,district,kangra,total,1510075,750591,759484,164607,1152640,357435,675170,403756,271414,834905
2,24,district,kangra,rural,1423794,705365,718429,156586,1082442,341352,645181,380728,264453,778613
2,24,district,kangra,urban,86281,45226,41055,8021,70198,16083,29989,23028,6961,56292
9,160,district,kannauj,total,1656616,881776,774840,257682,1017087,639529,524676,430934,93742,1131940
9,160,district,kannauj,rural,1375775,734245,641530,217006,846493,529282,435348,361050,74298,940427
9,160,district,kannauj,urban,280841,147531,133310,40676,170594,110247,89328,69884,19444,191513
33,629,district,kanniyakumari,total,1870374,926345,944029,182350,1548738,321636,679620,524629,154991,1190754
33,629,district,kanniyakumari,rural,330572,164938,165634,33780,269380,61192,125416,94908,30508,205156
33,629,district,kanniyakumari,urban,1539802,761407,778395,148570,1279358,260444,554204,429721,124483,985598
32,589,district,kannur,total,2523003,1181446,1341557,274318,2138434,384569,824116,609377,214739,1698887
32,589,district,kannur,rural,882017,425682,456335,95223,736967,145050,322381,233669,88712,559636
32,589,district,kannur,urban,1640986,755764,885222,179095,1401467,239519,501735,375708,126027,1139251
9,163,district,kanpurdehat,total,1796184,963255,832929,251965,1170243,625941,628864,493991,134873,1167320
9,163,district,kanpurdehat,rural,1622761,871508,751253,229678,1049386,573375,575559,448661,126898,1047202
9,163,district,kanpurdehat,urban,173423,91747,81676,22287,120857,52566,53305,45330,7975,120118
9,164,district,kanpurnagar,total,4581268,2459806,2121462,509924,3243022,1338246,1572232,1299871,272361,3009036
9,164,district,kanpurnagar,rural,1565623,837260,728363,214077,1010152,555471,562869,443981,118888,1002754
9,164,district,kanpurnagar,urban,3015645,1622546,1393099,295847,2232870,782775,1009363,855890,153473,2006282
9,202,district,kanshiramnagar,total,1436719,764165,672554,248759,724850,711869,472765,375213,97552,963954
9,202,district,kanshiramnagar,rural,1148512,612556,535956,205624,565528,582984,389070,304542,84528,759442
9,202,district,kanshiramnagar,urban,288207,151609,136598,43135,159322,128885,83695,70671,13024,204512
3,36,district,kapurthala,total,815168,426311,388857,86025,576567,238601,284165,235562,48603,531003
3,36,district,kapurthala,rural,532706,275932,256774,57353,360776,171930,181044,151342,29702,351662
3,36,district,kapurthala,urban,282462,150379,132083,28672,215791,66671,103121,84220,18901,179341
34,637,district,karaikal,total,200222,97809,102413,22263,154916,45306,68301,53139,15162,131921
34,637,district,karaikal,rural,102120,50138,51982,11511,77101,25019,35396,27107,8289,66724
34,637,district,karaikal,urban,98102,47671,50431,10752,77815,20287,32905,26032,6873,65197
8,107,district,karauli,total,1458248,783639,674609,241357,805849,652399,628726,371058,257668,829522
